Investing - Portfolio Value - By Security

Created: 2023-10-14

Price and Holdings as of: 2023-10-13

﻿,Symbol,Shares,Type,Price,Price Day Change,Price Day Change (%),Cost Basis,Market Value,Average Cost Per Share,Gain/Loss 12-Month,Gain/Loss,Gain/Loss (%)
﻿LifePath 2030 Portfolio,,"655.772515",Mutual Fund,"25.475904","-0.247137","-1.0%","$11,308.98","$16,706.40","17.25","$1,558.62","$5,397.42","47.7%"
﻿Microsoft Corp,MSFT,"200",Stock,"327.73","-3.43","-1.0%","$9,859.98","$65,546.00","49.30","$18,698.00","$55,686.02","564.8%"
﻿Mondelez International Inc,MDLZ,"508",Stock,"61.53","0.49","0.8%","$5,527.70","$31,257.24","10.88","$1,955.80","$25,729.54","465.5%"
﻿NB Genesis Trust,NBGEX,"1,775.842",Mutual Fund,"56.38","-0.33","-0.6%","$90,360.46","$100,121.97","50.88","-$2,654.02","$9,761.51","10.8%"
﻿Norfolk Southern,NSC,"200",Stock,"200.94","-0.04","-0.0%","$14,549.55","$40,188.00","72.75","-$2,934.00","$25,638.45","176.2%"
﻿PEPSICO INC,PEP,"200",Stock,"160.00","1.92","1.2%","$12,929.95","$32,000.00","64.65","-$2,922.00","$19,070.05","147.5%"
﻿PFIZER INC COM,PFE,"100",Stock,"32.11","-0.81","-2.5%","$3,249.99","$3,211.00","32.50","-$1,087.00","-$38.99","-1.2%"
﻿PHILIP MORRIS CO INC,PM,"200",Stock,"92.26","0.39","0.4%","$1,681.40","$18,452.00","8.41","$1,006.00","$16,770.60","997.4%"
﻿PROCTER & GAMBLE CO COM,PG,"300",Stock,"144.69","1.37","1.0%","$24,143.98","$43,407.00","80.48","$5,514.00","$19,263.02","79.8%"
﻿Small-Mid Cap Index,,"2,024.448296",Mutual Fund,"13.954554","-0.412438","-2.9%","$25,580.87","$28,250.27","12.64","$1,866.93","$2,669.40","10.4%"
﻿SOUTHERN CO,SO,"425",Other,"66.55","0.85","1.3%","$13,647.18","$28,283.75","32.11","$1,062.50","$14,636.57","107.2%"
﻿STATE STREET S&P 500 INDEX N,SVSPX,"183.7295",Mutual Fund,"227.00","-1.14","-0.5%","$42,436.25","$41,706.60","230.97","$2,933.54","-$729.65","-1.7%"
﻿Union Pacific Railroad,UNP,"400",Stock,"207.75","-0.24","-0.1%","$25,817.94","$83,100.00","64.54","$4,404.00","$57,282.06","221.9%"
﻿USAA Mutual Fds Tr Income Fund,USAIX,"8,191.403",Mutual Fund,"10.84","0.05","0.5%","$104,700.05","$88,794.81","12.78","-$1,207.02","-$15,905.24","-15.2%"
﻿USAA Mutual Fds Tr Nasdaq 100 Index Fund,USNQX,"1,881.953",Mutual Fund,"38.45","-0.49","-1.3%","$55,013.29","$72,361.09","29.23","$16,225.74","$17,347.80","31.5%"
﻿Cash,,,,,,,,"$7,923.10",,,,
﻿Totals,,,,,,,"$1,074,959.16","$1,511,374.72",,"$89,302.26","$428,492.46","39.9%"
